epoch,train_loss,train_acc,val_loss,val_acc
0,2.3023737809237312,0.48253676470588236,1.7595227395786959,0.9117647058823529
1,1.3265823125839233,0.9016544117647058,1.163145948858822,0.9411764705882353
2,0.8475701055105995,0.9485294117647058,0.843462141121135,0.9632352941176471
3,0.5895626439767725,0.9678308823529411,0.6427198017344755,0.9632352941176471
4,0.45636432048152475,0.9788602941176471,0.5445812467266532,0.9779411764705882
5,0.3533326794995981,0.9862132352941176,0.45580662348691153,0.9779411764705882
6,0.29585712928982344,0.9862132352941176,0.40052219173487497,0.9852941176470589
7,0.23913659067714915,0.9972426470588235,0.3647522838676677,0.9852941176470589
8,0.20653356677469084,0.9954044117647058,0.3337381026324104,0.9779411764705882
9,0.17671280661050012,0.9972426470588235,0.306860287399853,0.9852941176470589
10,0.14916970383595018,0.9926470588235294,0.2712726838448468,0.9926470588235294
11,0.13524741810910842,0.9990808823529411,0.25494398614939523,0.9852941176470589
12,0.1245522735749974,0.9990808823529411,0.2475106137640336,0.9779411764705882
13,0.10384073513833915,1.0,0.23446997123606064,0.9926470588235294
14,0.09566346851780134,0.9981617647058824,0.22518887765267315,0.9852941176470589
15,0.09475104751832344,0.9990808823529411,0.20757070534369526,0.9926470588235294
16,0.0827557292273816,1.0,0.20629435602356405,0.9926470588235294
17,0.07697298049050219,1.0,0.19284611589768352,0.9926470588235294
18,0.06510628896820195,1.0,0.1815573976320379,0.9926470588235294
19,0.06545257020522566,0.9990808823529411,0.18275331574327805,0.9926470588235294
